,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
0,ETHBTC,0.00105200,1.476,0.07141453,0.07125500,0.07230800,0.01970000,0.07230700,4.27740000,0.07230800,30.55800000,0.07125600,0.07249300,0.07076100,37138.73740000,2652.24536715,1674323698162,1674410098162,398475928,398554750,78823
1,LTCBTC,0.00002300,0.594,0.00388420,0.00387000,0.00389300,2.70200000,0.00389400,19.95300000,0.00389500,108.88100000,0.00387000,0.00392300,0.00384400,63778.37600000,247.72801217,1674323698204,1674410098204,87762472,87782273,19802
2,BNBBTC,0.00036800,2.812,0.01323565,0.01308700,0.01345600,0.01500000,0.01345600,6.25000000,0.01345700,23.66200000,0.01308800,0.01346700,0.01305000,28423.21100000,376.19969080,1674323695332,1674410095332,214422049,214465670,43622
3,NEOBTC,0.00001400,4.082,0.00035103,0.00034300,0.00035700,0.57000000,0.00035700,0.29000000,0.00035800,1747.13000000,0.00034300,0.00035800,0.00034300,21244.60000000,7.45753309,1674323691799,1674410091799,44180113,44181867,1755
4,QTUMETH,0.00004700,3.078,0.00157910,0.00152300,0.00157400,21.00000000,0.00156900,3.20000000,0.00157600,103.80000000,0.00152700,0.00162000,0.00152700,2800.50000000,4.42227510,1674323694916,1674410094916,5352296,5352426,131
5,EOSETH,0.00003300,5.205,0.00066638,0.00063300,0.00066700,185.80000000,0.00066600,222.30000000,0.00066800,8.00000000,0.00063400,0.00069100,0.00062900,56747.50000000,37.81540600,1674323696348,1674410096348,23383659,23384450,792
6,SNTETH,-0.00000006,-0.380,0.00001575,0.00001584,0.00001573,18262.00000000,0.00001565,3528.00000000,0.00001575,11896.00000000,0.00001579,0.00001595,0.00001560,1410365.00000000,22.21053617,1674323409549,1674409809549,3796474,3796658,185
7,BNTETH,0.00000400,1.587,0.00025422,0.00025300,0.00025600,222.10000000,0.00025600,9.20000000,0.00025800,1424.40000000,0.00025200,0.00025800,0.00025100,26142.90000000,6.64598610,1674323682277,1674410082277,2178065,2178194,130
8,BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
9,GASBTC,-0.00000020,-0.176,0.00011408,0.00011360,0.00011370,19.20000000,0.00011350,248.20000000,0.00011370,80.20000000,0.00011390,0.00011670,0.00011270,79806.40000000,9.10432213,1674323625569,1674410025569,19870571,19872945,2375
10,BNBETH,0.00250000,1.362,0.18512539,0.18370000,0.18610000,1.35100000,0.18610000,4.10800000,0.18620000,1.61800000,0.18360000,0.18680000,0.18260000,11958.08800000,2213.74573860,1674323696364,1674410096364,53380087,53388447,8361
11,BTCUSDT,-273.87000000,-1.181,22908.06611705,23198.88000000,22924.84000000,0.00312000,22924.84000000,0.04688000,22925.56000000,0.00052000,23198.71000000,23308.06000000,22602.55000000,244008.17421000,5589755387.90297550,1674323699059,1674410099059,2532821515,2539265470,6443956
